S.No,Registration Number,SSLC Percentage,HSC Percentage,UG Percentage,Diploma Percentage,Current CGPA,1st Semester Percentage,2nd Semester Percentage,3rd Semester Percentage,4th Semester Percentage,5th Semester Percentage,6th Semester Percentage,7th Semester Percentage,8th Semester Percentage,History Of Arrears,Standing Arrears,Placed
42,1.12E+11,97,95.66000366,0,0,7.400000095,8.460000038,7.630000114,7.510000229,7.150000095,7.550000191,7.53000021,0,0,0,1,1
43,1.12E+11,86,90.5,0,0,7.869999886,8.06000042,8.140000343,7.360000134,8.140000343,8.25,7.730000019,0,0,0,0,1
44,1.12E+11,89.80000305,90.91000366,0,0,7.510000229,7.150000095,7.389999866,7.260000229,8.039999962,7.960000038,7.849999905,0,0,0,0,1
45,1.12E+11,85.80000305,81.58999634,0,0,7.96999979,8.229999542,7.920000076,7.630000114,7.920000076,8.029999733,8.18999958,0,0,0,0,1
46,1.12E+11,82.30000305,88.58000183,0,0,7.039999962,7.650000095,6.900000095,7.190000057,6.400000095,7.099999905,7.460000038,0,0,0,0,1
47,1.12E+11,94.40000153,95.83000183,0,0,8.760000229,9,8.890000343,8.850000381,8.680000305,8.100000381,9.229999542,0,0,0,0,1
48,1.12E+11,90.40000153,87.33000183,0,0,7.929999828,8.300000191,8.020000458,8.100000381,7.570000172,8.170000076,7.880000114,0,0,0,0,1
49,1.12E+11,79,78.69000244,0,0,7.679999828,8.149999619,7.460000038,7.809999943,7.579999924,6.849999905,8.18999958,0,0,0,0,1
50,1.12E+11,79,84.08000183,0,82.29000092,6.059999943,0,0,5.920000076,6.090000153,7,6.820000172,0,0,0,1,0
51,1.12E+11,91,79.19999695,0,97.33000183,8.359999657,8.420000076,8.640000343,8.430000305,8.180000305,8.140000343,8.119999886,0,0,0,0,0
52,1.12E+11,89.19999695,93.83000183,0,0,7.400000095,7.690000057,6.210000038,7.480000019,7.309999943,7.440000057,8.229999542,0,0,0,0,1
53,1.12E+11,63.20000076,72,0,85,7.039999962,7.190000057,6.920000076,6.920000076,6.760000229,6.630000114,7.840000153,7,8,1,0,0
54,1.12E+11,91.30000305,91.58000183,0,0,7.619999886,7.570000172,7.460000038,7.739999771,7.690000057,7.849999905,7.760000229,0,0,0,0,1
55,1.12E+11,76.5,84.41000366,0,0,7.829999924,8.069999695,7.849999905,7.550000191,8.109999657,7.699999809,7.880000114,0,0,0,0,1
56,1.12E+11,90.09999847,87.08000183,0,0,8.239999771,8.390000343,8.640000343,8.399999619,7.920000076,8.140000343,8.460000038,0,0,0,0,0
57,1.12E+11,87.40000153,86.08000183,0,0,8.010000229,8.68999958,7.599999905,8.43999958,8.109999657,7.960000038,8,0,0,0,0,1
58,1.12E+11,75.40000153,84.83000183,0,0,7,7.079999924,6.710000038,6.929999828,6.849999905,6.929999828,7.650000095,0,0,0,0,0
59,1.12E+11,84.59999847,85.19999695,0,0,6.840000153,6.900000095,6.800000191,7.690000057,7.090000153,7.400000095,6.800000191,0,0,0,1,0
60,1.12E+11,82.40000153,91.33000183,0,0,8.369999886,8.5,8.460000038,8.220000267,8.300000191,8.319999695,8.760000229,0,0,0,0,1
61,1.12E+11,79,68.83000183,0,0,6.840000153,7.010000229,6.130000114,7.210000038,6.340000153,7,7.309999943,6.730000019,0,0,0,0
62,1.12E+11,91.59999847,95.75,0,0,8.409999847,8.68999958,8.529999733,8.43999958,8.5,8.289999962,8.340000153,0,0,0,0,1
63,1.12E+11,92,88.41000366,0,0,8.649999619,9.029999733,8.5,8.81000042,8.520000458,8.25,9.029999733,0,0,0,0,1
64,1.12E+11,88.30000305,89.19000244,0,0,8.470000267,8.680000305,8.5,8.619999886,8.529999733,8.43999958,8.300000191,0,0,0,0,1
65,1.12E+11,88,95.16000366,0,0,8.409999847,8.619999886,8.539999962,8.479999542,8.5,8.43999958,8.729999542,7.409999847,9,0,0,1
66,1.12E+11,94,96.75,0,0,8.529999733,8.960000038,8.25,8.590000153,8.380000114,8.729999542,8.539999962,0,0,0,0,1
67,1.12E+11,95.40000153,94.75,0,0,8.409999847,9.069999695,7.889999866,8.619999886,8.260000229,7.849999905,9.029999733,0,0,0,0,1
68,1.12E+11,88.40000153,95.25,0,0,8.779999733,9.18999958,9.069999695,8.659999847,8.420000076,9.029999733,8.840000153,0,0,0,0,1
